1547233438, 11/01/2019, 09:03:58, IGUA_002, cash, 000000, 10, 212
1547233447, 11/01/2019, 09:04:07, IGUA_002, cash, 000000, 10, 211
1547252498, 11/01/2019, 14:21:38, IGUA_002, cash, 000000, 10, 213
1547252569, 11/01/2019, 14:22:49, IGUA_002, cash, 000000, 20, 305
1547254457, 11/01/2019, 14:54:17, IGUA_002, cash, 000000, 50, 1478
1547255393, 11/01/2019, 15:09:53, IGUA_002, cash, 000000, 50, 852
1547255446, 11/01/2019, 15:10:46, IGUA_002, cash, 000000, 10, 244
1547255478, 11/01/2019, 15:11:18, IGUA_002, cash, 000000, 20, 411
1547262477, 11/01/2019, 17:07:57, IGUA_002, cash, 000000, 50, 1072
1547264725, 11/01/2019, 17:45:25, IGUA_002, cash, 000000, 30, 414
1547265545, 11/01/2019, 17:59:05, IGUA_002, cash, 000000, 20, 428
1547265588, 11/01/2019, 17:59:48, IGUA_002, cash, 000000, 20, 416
1547324978, 12/01/2019, 10:29:38, IGUA_002, cash, 000000, 10, 277
1547325000, 12/01/2019, 10:30:00, IGUA_002, cash, 000000, 10, 258
1547325028, 12/01/2019, 10:30:28, IGUA_002, cash, 000000, 10, 231
1547325201, 12/01/2019, 10:33:21, IGUA_002, cash, 000000, 50, 378
1547332929, 12/01/2019, 12:42:09, IGUA_002, cash, 000000, 50, 1070
1547340549, 12/01/2019, 14:49:09, IGUA_002, cash, 000000, 10, 215
1547342043, 12/01/2019, 15:14:03, IGUA_002, cash, 000000, 50, 1061
1547344873, 12/01/2019, 16:01:13, IGUA_002, cash, 000000, 20, 410
1547358379, 12/01/2019, 19:46:20, IGUA_002, cash, 000000, 100, 508
1547413495, 13/01/2019, 11:04:55, IGUA_002, cash, 000000, 50, 1022
1547421368, 13/01/2019, 13:16:08, IGUA_002, cash, 000000, 80, 1530
1547426669, 13/01/2019, 14:44:29, IGUA_002, cash, 000000, 30, 731
1547427111, 13/01/2019, 14:51:51, IGUA_002, cash, 000000, 20, 474
1547427224, 13/01/2019, 14:53:44, IGUA_002, cash, 000000, 10, 229
1547436344, 13/01/2019, 17:25:44, IGUA_002, cash, 000000, 10, 245
1547436521, 13/01/2019, 17:28:41, IGUA_002, cash, 000000, 100, 457
1547436717, 13/01/2019, 17:31:57, IGUA_002, cash, 000000, 50, 987
